m/z	i
3814.81 15565
3815.19 20177
3815.56 23105
3815.94 23271
3816.31 21059
3816.68 20004
3817.06 19180
3817.43 18120
3817.80 16180
3818.18 16819
3818.55 16997
3818.93 15694
3819.30 11755
3819.67 9802
3820.05 7627
3820.42 7250
3820.79 4721
3821.17 -1819
3821.54 -7761
3821.92 -9475
3822.29 -9576
3822.66 -6827
3823.04 -3947
3823.41 -718
3823.79 956
3824.16 3323
3824.53 5222
3824.91 9677
3825.28 12384
3825.66 16164
3826.03 22419
3826.41 26705
3826.78 32126
3827.15 36925
3827.53 38459
3827.90 38614
3828.28 38115
3828.65 38040
3829.03 31734
3829.40 24065
3829.77 16147
3830.15 11865
3830.52 11853
3830.90 11073
3831.27 7317
3831.65 2965
3832.02 -1513
3832.40 -4346
3832.77 -6652
3833.14 -6804
3833.52 -7253
3833.89 -5265
3834.27 -4053
3834.64 1045
3835.02 7998
3835.39 12007
3835.77 14145
3836.14 14401
3836.52 16250
3836.89 19481
3837.27 19654
3837.64 16370
3838.02 11098
3838.39 6637
3838.76 5881
3839.14 5413
3839.51 4345
3839.89 929
3840.26 -2730
3840.64 -4077
3841.01 -4559
3841.39 -2039
3841.76 -93
3842.14 1881
3842.51 2688
3842.89 8044
3843.26 14726
3843.64 19724
3844.01 22593
3844.39 24062
3844.76 24023
3845.14 23974
3845.51 23205
3845.89 21820
3846.26 16377
3846.64 11134
3847.02 6209
3847.39 2445
3847.77 405
3848.14 -2723
3848.52 -5929
3848.89 -9381
3849.27 -10873
3849.64 -9575
3850.02 -7289
3850.39 -4727
3850.77 -3722
3851.14 -1954
3851.52 197
3851.89 4254
3852.27 6381
3852.65 6050
3853.02 6772
3853.40 7464
3853.77 7394
3854.15 6665
3854.52 7772
3854.90 10002
3855.27 8708
3855.65 7999
3856.03 5554
3856.40 4020
3856.78 2737
3857.15 1103
3857.53 1128
3857.90 951
3858.28 1267
3858.66 2785
3859.03 1894
3859.41 -2063
3859.78 -6636
3860.16 -9712
3860.54 -10006
3860.91 -7940
3861.29 -6574
3861.66 -6716
3862.04 -2765
3862.41 2785
3862.79 7563
3863.17 13144
3863.54 18080
3863.92 20862
3864.29 22837
3864.67 25602
3865.05 27356
3865.42 29394
3865.80 30171
3866.18 27565
3866.55 26081
3866.93 24878
3867.30 22658
3867.68 16816
3868.06 8509
3868.43 1290
3868.81 -1950
3869.19 -969
3869.56 760
3869.94 3373
3870.31 5556
3870.69 7716
3871.07 12384
3871.44 15790
3871.82 17796
3872.20 19679
3872.57 17311
3872.95 13176
3873.33 12313
3873.70 11038
3874.08 9363
3874.46 7275
3874.83 4751
3875.21 1940
3875.59 1044
3875.96 1557
3876.34 1066
3876.72 134
3877.09 -398
3877.47 1146
3877.85 4622
3878.22 8400
3878.60 11922
3878.98 18330
3879.35 24286
3879.73 26484
3880.11 26606
3880.48 24482
3880.86 20321
3881.24 15446
3881.61 11002
3881.99 7332
3882.37 7188
3882.74 6489
3883.12 4359
3883.50 3358
3883.88 4329
3884.25 5541
3884.63 6451
3885.01 9201
3885.38 10338
3885.76 12711
3886.14 15421
3886.52 20007
3886.89 22482
3887.27 25580
3887.65 30756
3888.02 34454
3888.40 36121
3888.78 36806
3889.16 36100
3889.53 31419
3889.91 27095
3890.29 24377
3890.66 20129
3891.04 14019
3891.42 10169
3891.80 7064
3892.17 2741
3892.55 -58
3892.93 -3281
3893.31 -8379
3893.68 -12587
3894.06 -14679
3894.44 -15215
3894.82 -13667
3895.19 -11395
3895.57 -11287
3895.95 -10478
3896.33 -6712
3896.71 -3246
3897.08 -34
3897.46 4211
3897.84 5445
3898.22 1819
3898.59 -70
3898.97 766
3899.35 1407
3899.73 2189
3900.10 5418
3900.48 10120
3900.86 14663
3901.24 17859
3901.62 19146
3901.99 18248
3902.37 18586
3902.75 19849
3903.13 21629
3903.51 21883
3903.88 19916
3904.26 17739
3904.64 15480
3905.02 17528
3905.40 17454
3905.77 14093
3906.15 11707
3906.53 6442
3906.91 -93
3907.29 -5033
3907.66 -6693
3908.04 -7667
3908.42 -7961
3908.80 -4837
3909.18 -451
3909.56 3096
3909.93 5846
3910.31 8147
3910.69 11071
3911.07 15137
3911.45 18766
3911.83 19757
3912.20 18563
3912.58 17125
3912.96 17696
3913.34 18853
3913.72 21066
3914.10 22864
3914.48 21675
3914.85 19950
3915.23 19292
3915.61 16854
3915.99 15143
3916.37 12521
3916.75 10384
3917.13 7185
3917.50 3064
3917.88 2348
3918.26 1780
3918.64 1161
3919.02 1820
3919.40 4305
3919.78 7072
3920.16 6949
3920.53 3898
3920.91 3094
3921.29 2748
3921.67 4418
3922.05 5138
3922.43 5496
3922.81 7146
3923.19 9380
3923.57 9854
3923.94 9545
3924.32 7199
3924.70 3945
3925.08 1522
3925.46 -2213
3925.84 -5585
3926.22 -9387
3926.60 -8384
3926.98 -1881
3927.36 2792
3927.73 5685
3928.11 8813
3928.49 11133
3928.87 11134
3929.25 10979
3929.63 12658
3930.01 15369
3930.39 18370
3930.77 21753
3931.15 23660
3931.53 23235
3931.91 21749
3932.29 18206
3932.67 13282
3933.04 10526
3933.42 7970
3933.80 7528
3934.18 8112
3934.56 7445
3934.94 6151
3935.32 6547
3935.70 9087
3936.08 9469
3936.46 5774
3936.84 1478
3937.22 -816
3937.60 -2702
3937.98 -1802
3938.36 2737
3938.74 6376
3939.12 8402
3939.50 11582
3939.88 14865
3940.26 17313
3940.64 18324
3941.02 20505
3941.40 24078
3941.78 27859
3942.16 32895
3942.54 37036
3942.92 39734
3943.30 39047
3943.68 36528
3944.06 33627
3944.44 29883
3944.82 24753
3945.20 19215
3945.58 14462
3945.96 9678
3946.34 9412
3946.72 12088
3947.10 15408
3947.48 17655
3947.86 16220
3948.24 15209
3948.62 17285
3949.00 20975
3949.38 22991
3949.76 24550
3950.14 25624
3950.52 25715
3950.90 25708
3951.28 27077
3951.66 26550
3952.04 24876
3952.42 22580
3952.80 20631
3953.18 19608
3953.56 18426
3953.94 19773
3954.32 22025
3954.70 22392
3955.08 21744
3955.46 23417
3955.84 25308
3956.22 26932
3956.60 27741
3956.99 25466
3957.37 25204
3957.75 27059
3958.13 27648
3958.51 26879
3958.89 26391
3959.27 23314
3959.65 19251
3960.03 17559
3960.41 14798
3960.79 8331
3961.17 4625
3961.55 3478
3961.93 4508
3962.32 6215
3962.70 6753
3963.08 5854
3963.46 3966
3963.84 2101
3964.22 852
3964.60 991
3964.98 1501
3965.36 2985
3965.74 2860
3966.12 2726
3966.51 1333
3966.89 -940
3967.27 -1661
3967.65 -4068
3968.03 -7880
3968.41 -12030
3968.79 -14739
3969.17 -14594
3969.55 -16035
3969.94 -17095
3970.32 -14292
3970.70 -10485
3971.08 -6710
3971.46 -4021
3971.84 -1831
3972.22 -701
3972.60 315
3972.99 2163
3973.37 2891
3973.75 3010
3974.13 1947
3974.51 962
3974.89 -229
3975.27 -1071
3975.66 -3257
3976.04 -3824
3976.42 -2717
3976.80 -3959
3977.18 -4885
3977.56 -4136
3977.95 -2584
3978.33 -1268
3978.71 -1475
3979.09 2022
3979.47 5629
3979.85 10502
3980.24 14923
3980.62 15981
3981.00 14864
3981.38 13129
3981.76 12350
3982.14 12147
3982.53 10959
3982.91 10197
3983.29 9105
3983.67 7515
3984.05 7230
3984.44 7326
3984.82 6214
3985.20 4675
3985.58 5603
3985.96 6529
3986.35 4574
3986.73 4045
3987.11 5869
3987.49 8556
3987.87 10986
3988.26 12807
3988.64 11853
3989.02 10104
3989.40 7364
3989.78 4319
3990.17 2948
3990.55 1888
3990.93 1524
3991.31 -952
3991.70 -1267
3992.08 -0
3992.46 421
3992.84 213
3993.22 -1206
3993.61 -3075
3993.99 -3495
3994.37 -3023
3994.75 203
3995.14 1419
3995.52 3568
3995.90 10640
3996.28 17646
3996.67 23723
3997.05 28203
3997.43 31549
3997.81 37173
3998.20 39997
3998.58 41282
3998.96 41170
3999.34 41988
3999.73 43182
4000.11 44593
4000.49 43616
4000.87 42492
4001.26 39353
4001.64 35684
4002.02 29328
4002.41 21109
4002.79 15184
4003.17 9866
4003.55 4639
4003.94 2757
4004.32 -100
4004.70 -2014
4005.09 -2624
4005.47 -3638
4005.85 -1800
4006.23 -49
4006.62 2282
4007.00 3885
4007.38 1726
4007.77 -103
4008.15 -964
4008.53 1411
4008.92 3030
4009.30 1916
4009.68 349
4010.06 1005
4010.45 3589
4010.83 6766
4011.21 7635
4011.60 10119
4011.98 11329
4012.36 10416
4012.75 11123
4013.13 12304
4013.51 11179
4013.90 13021
4014.28 17588
4014.66 22158
4015.05 25273
4015.43 27147
4015.81 29283
4016.20 29807
4016.58 32460
4016.96 35003
4017.35 34744
4017.73 34468
4018.12 31868
4018.50 28927
4018.88 27304
4019.27 27435
4019.65 27480
4020.03 26275
4020.42 24788
4020.80 25137
4021.18 22276
4021.57 20253
4021.95 21276
4022.34 22119
4022.72 21102
4023.10 22373
4023.49 23691
4023.87 23270
4024.25 23690
4024.64 25378
4025.02 29692
4025.41 35225
4025.79 39716
4026.17 41490
4026.56 41092
4026.94 38166
4027.33 33423
4027.71 30397
4028.09 26747
4028.48 25534
4028.86 25952
4029.25 25253
4029.63 23639
4030.01 22066
4030.40 19604
4030.78 17567
4031.17 16323
4031.55 13061
4031.93 8444
4032.32 4580
4032.70 399
4033.09 -2888
4033.47 -4527
4033.86 -6441
4034.24 -4499
4034.62 -2366
4035.01 -1333
4035.39 -753
4035.78 -1677
4036.16 -7130
4036.55 -10358
4036.93 -10035
4037.32 -7698
4037.70 -2924
4038.08 965
4038.47 1105
4038.85 421
4039.24 506
4039.62 662
4040.01 1075
4040.39 1353
4040.78 -267
4041.16 -3325
4041.55 -6608
4041.93 -7383
4042.31 -7801
4042.70 -7356
4043.08 -5464
4043.47 -1809
4043.85 1794
4044.24 5942
4044.62 8316
4045.01 9084
4045.39 8785
4045.78 10412
4046.16 12349
4046.55 15181
4046.93 16041
4047.32 13723
4047.70 10674
4048.09 9864
4048.47 11007
4048.86 11721
4049.24 12073
4049.63 11375
4050.01 11625
4050.40 11413
4050.78 11479
4051.17 14246
4051.55 16824
4051.94 20148
4052.32 23366
4052.71 28648
4053.09 35158
4053.48 40102
4053.86 42413
4054.25 43277
4054.63 43452
4055.02 42799
4055.40 41219
4055.79 39509
4056.18 36965
4056.56 33686
4056.95 33341
4057.33 33994
4057.72 32276
4058.10 28561
4058.49 23648
4058.87 18358
4059.26 15476
4059.64 13291
4060.03 10917
4060.42 9799
4060.80 5236
4061.19 -580
4061.57 -2325
4061.96 -2288
4062.34 -2372
4062.73 -4194
4063.12 -4792
4063.50 -3350
4063.89 -2280
4064.27 -640
4064.66 2320
4065.04 5937
4065.43 10101
4065.82 13461
4066.20 17747
4066.59 20910
4066.97 20567
4067.36 20032
4067.74 18559
4068.13 18158
4068.52 17469
4068.90 15283
4069.29 10280
4069.67 3860
4070.06 -1663
4070.45 -5043
4070.83 -6777
4071.22 -8296
4071.60 -6925
4071.99 -5416
4072.38 -211
4072.76 7339
4073.15 13057
4073.54 19754
4073.92 22662
4074.31 23977
4074.69 26426
4075.08 30476
4075.47 34505
4075.85 36012
4076.24 33990
4076.63 32517
4077.01 29102
4077.40 25849
4077.78 20230
4078.17 15394
4078.56 12005
4078.94 8553
4079.33 6234
4079.72 5112
4080.10 4671
4080.49 6793
4080.88 10372
4081.26 13689
4081.65 18896
4082.04 22428
4082.42 22345
4082.81 22486
4083.20 19579
4083.58 19392
4083.97 19690
4084.36 18378
4084.74 14343
4085.13 11811
4085.52 10409
4085.90 9083
4086.29 7443
4086.68 7714
4087.06 6521
4087.45 5375
4087.84 4528
4088.22 1084
4088.61 -685
4089.00 -558
4089.38 -1105
4089.77 624
4090.16 2364
4090.55 4041
4090.93 5147
4091.32 6862
4091.71 7832
4092.09 9523
4092.48 8742
4092.87 5679
4093.26 4345
4093.64 4818
4094.03 7332
4094.42 12310
4094.80 14731
4095.19 14549
4095.58 15276
4095.97 15101
4096.35 12840
4096.74 9443
4097.13 6624
4097.51 4079
4097.90 3268
4098.29 4760
4098.68 8282
4099.06 10838
4099.45 11412
4099.84 14320
4100.23 18134
4100.61 22971
4101.00 24559
4101.39 23893
4101.78 21879
4102.16 20053
4102.55 21609
4102.94 20326
4103.33 15251
4103.71 9554
4104.10 4114
4104.49 91
4104.88 -2060
4105.26 -5236
4105.65 -7814
4106.04 -9269
4106.43 -9833
4106.82 -9245
4107.20 -7938
4107.59 -5925
4107.98 -6579
4108.37 -9137
4108.76 -8830
4109.14 -7112
4109.53 -7477
4109.92 -8493
4110.31 -10421
4110.69 -10513
4111.08 -8352
4111.47 -6353
4111.86 -5069
4112.25 -5684
4112.63 -3770
4113.02 2193
4113.41 10530
4113.80 18042
4114.19 23515
4114.58 27792
4114.96 30974
4115.35 31510
4115.74 30681
4116.13 31325
4116.52 30828
4116.90 29136
4117.29 23827
4117.68 17307
4118.07 12410
4118.46 6980
4118.85 1833
4119.23 -1745
4119.62 -3072
4120.01 -2689
4120.40 -3347
4120.79 -3786
4121.18 -2125
4121.56 1577
4121.95 6539
4122.34 7718
4122.73 8316
4123.12 9687
4123.51 9093
4123.90 6260
4124.28 499
4124.67 -2611
4125.06 -2798
4125.45 -1937
4125.84 -1816
4126.23 -2467
4126.62 -5331
4127.01 -6192
4127.39 -4446
4127.78 -2440
4128.17 -1168
4128.56 -1549
4128.95 -2157
4129.34 -2435
4129.73 -1603
4130.12 3392
4130.50 9103
4130.89 12805
4131.28 14305
4131.67 12751
4132.06 13123
4132.45 13515
4132.84 9665
4133.23 6756
4133.62 4833
4134.01 5764
4134.39 6102
4134.78 5460
4135.17 4936
4135.56 4718
4135.95 3599
4136.34 2524
4136.73 3558
4137.12 3488
4137.51 2633
4137.90 1349
4138.29 3352
4138.68 8299
4139.06 14941
4139.45 22125
4139.84 28291
4140.23 31015
4140.62 30877
4141.01 30196
4141.40 29548
4141.79 27590
4142.18 25985
4142.57 25125
4142.96 22235
4143.35 19153
4143.74 15105
4144.13 8564
4144.52 1479
4144.91 -3839
4145.30 -9627
4145.69 -12376
4146.08 -13334
4146.46 -13986
4146.85 -12793
4147.24 -12289
4147.63 -12247
4148.02 -13011
4148.41 -12980
4148.80 -12418
4149.19 -8661
4149.58 -6770
4149.97 -5111
4150.36 -1297
4150.75 3475
4151.14 8054
4151.53 12555
4151.92 14279
4152.31 14824
4152.70 16960
4153.09 18531
4153.48 17769
4153.87 17908
4154.26 21683
4154.65 24079
4155.04 27350
4155.43 28687
4155.82 29586
4156.21 29803
4156.60 27637
4156.99 24852
4157.38 23441
4157.77 22674
4158.16 23026
4158.55 25331
4158.94 25522
4159.33 24031
4159.72 22845
4160.11 22457
4160.50 20480
4160.89 18173
4161.29 15857
4161.68 15722
4162.07 17287
4162.46 15598
4162.85 9966
4163.24 6573
4163.63 6960
4164.02 6359
4164.41 6255
4164.80 5118
4165.19 5536
4165.58 9019
4165.97 12378
4166.36 13952
4166.75 15025
4167.14 16727
4167.53 18307
4167.92 20076
4168.31 22243
4168.71 22063
4169.10 21567
4169.49 22576
4169.88 21205
4170.27 22215
4170.66 22314
4171.05 18560
4171.44 14078
4171.83 10524
4172.22 7377
4172.61 7261
4173.00 9697
4173.39 10262
4173.79 11790
4174.18 12762
4174.57 15086
4174.96 18146
4175.35 18392
4175.74 17417
4176.13 16339
4176.52 16545
4176.91 16274
4177.31 16870
4177.70 16361
4178.09 12625
4178.48 9347
4178.87 6584
4179.26 2836
4179.65 3835
4180.04 2485
4180.43 -151
4180.83 1739
4181.22 4281
4181.61 4204
4182.00 5071
4182.39 7910
4182.78 12267
4183.17 18059
4183.57 20243
4183.96 22495
4184.35 26545
4184.74 29019
4185.13 30318
4185.52 30843
4185.91 30948
4186.31 29828
4186.70 28695
4187.09 24554
4187.48 20531
4187.87 16979
4188.26 11585
4188.66 7460
4189.05 5555
4189.44 2501
4189.83 658
4190.22 622
4190.61 -982
4191.01 -2505
4191.40 -2862
4191.79 -2494
4192.18 -1427
4192.57 415
4192.96 2350
4193.36 4669
4193.75 6236
4194.14 5663
4194.53 5947
4194.92 8763
4195.32 13974
4195.71 17287
4196.10 20422
4196.49 20708
4196.88 20737
4197.28 19650
4197.67 17784
4198.06 20720
4198.45 24856
4198.84 26967
4199.24 28170
4199.63 27570
4200.02 24750
4200.41 22863
4200.80 20472
4201.20 16909
4201.59 13318
4201.98 11274
4202.37 7551
4202.77 3275
4203.16 862
4203.55 -576
4203.94 396
4204.34 1432
4204.73 3223
4205.12 2358
4205.51 1234
4205.91 755
4206.30 -102
4206.69 -112
4207.08 -331
4207.48 2143
4207.87 2821
4208.26 2160
4208.65 582
4209.05 126
4209.44 675
4209.83 3188
4210.22 3791
4210.62 3002
4211.01 2971
4211.40 4325
4211.79 5286
4212.19 7081
4212.58 9711
4212.97 10823
4213.37 11253
4213.76 11151
4214.15 12567
4214.54 12912
4214.94 12999
4215.33 14943
4215.72 15224
4216.12 14755
4216.51 14787
4216.90 15541
4217.29 15745
4217.69 15201
4218.08 13893
4218.47 15565
4218.87 18045
4219.26 18474
4219.65 16935
4220.05 16120
4220.44 15456
4220.83 14546
4221.23 12690
4221.62 11533
4222.01 12066
4222.40 10511
4222.80 8746
4223.19 8924
4223.58 9744
4223.98 10311
4224.37 12416
4224.76 15626
4225.16 17174
4225.55 18247
4225.94 17223
4226.34 15782
4226.73 16003
4227.12 16341
4227.52 15511
4227.91 15665
4228.31 14098
4228.70 9989
4229.09 5539
4229.49 2262
4229.88 102
4230.27 -2082
4230.67 -5003
4231.06 -7823
4231.45 -10113
4231.85 -12727
4232.24 -13919
4232.63 -13323
4233.03 -11328
4233.42 -9842
4233.82 -7318
4234.21 -4333
4234.60 -1839
4235.00 -727
4235.39 -548
4235.79 2683
4236.18 6999
4236.57 10885
4236.97 15719
4237.36 20314
4237.75 23270
4238.15 26738
4238.54 29682
4238.94 33300
4239.33 38570
4239.72 40955
4240.12 40699
4240.51 38352
4240.91 36454
4241.30 33966
4241.70 31020
4242.09 28064
4242.48 24272
4242.88 17686
4243.27 12624
4243.67 8150
4244.06 4158
4244.45 -2095
4244.85 -5121
4245.24 -4289
4245.64 -2387
4246.03 -33
4246.43 3107
4246.82 4974
4247.21 8498
4247.61 13069
4248.00 17422
4248.40 21115
4248.79 26015
4249.19 27151
4249.58 26700
4249.98 25565
4250.37 26564
4250.77 24689
4251.16 20425
4251.55 16232
4251.95 11947
4252.34 8588
4252.74 6353
4253.13 2672
4253.53 1249
4253.92 80
4254.32 1829
4254.71 2935
4255.11 2374
4255.50 -117
4255.90 -1152
4256.29 761
4256.69 2973
4257.08 3778
4257.48 6451
4257.87 7156
4258.27 7564
4258.66 5995
4259.05 6303
4259.45 8259
4259.84 10120
4260.24 8443
4260.63 7107
4261.03 8087
4261.42 8574
4261.82 9707
4262.22 9519
4262.61 8769
4263.01 9555
4263.40 8253
4263.80 6707
4264.19 3837
4264.59 533
4264.98 -1690
4265.38 -908
4265.77 332
4266.17 283
4266.56 -1108
4266.96 -136
4267.35 -1037
4267.75 -2328
4268.14 -4260
4268.54 -3139
4268.93 -2267
4269.33 -2071
4269.73 -1213
4270.12 -703
4270.52 -1114
4270.91 -1525
4271.31 -338
4271.70 308
4272.10 253
4272.49 790
4272.89 1357
4273.28 1563
4273.68 1079
4274.08 1171
4274.47 442
4274.87 -708
4275.26 -1005
4275.66 -1455
4276.05 -3368
4276.45 -3037
4276.85 -4008
4277.24 -6533
4277.64 -8414
4278.03 -6775
4278.43 -5664
4278.83 -6026
4279.22 -7188
4279.62 -8631
4280.01 -8769
4280.41 -6188
4280.80 -4368
4281.20 -2339
4281.60 1516
4281.99 5988
4282.39 7755
4282.78 9558
4283.18 12457
4283.58 15776
4283.97 18426
4284.37 22079
4284.77 25923
4285.16 29552
4285.56 31454
4285.95 31971
4286.35 31079
4286.75 28773
4287.14 25717
4287.54 23370
4287.93 21447
4288.33 19220
4288.73 18271
4289.12 18802
4289.52 18714
4289.92 18408
4290.31 17314
4290.71 18783
4291.11 19895
4291.50 19534
4291.90 18762
4292.30 18948
4292.69 19329
4293.09 18434
4293.48 16012
4293.88 13766
4294.28 13299
4294.67 11897
4295.07 8506
4295.47 5143
4295.86 2229
4296.26 277
4296.66 -869
4297.05 587
4297.45 2206
4297.85 2389
4298.24 3313
4298.64 5368
4299.04 7682
4299.44 9092
4299.83 10864
4300.23 11925
4300.63 12536
4301.02 13288
4301.42 13676
4301.82 13519
4302.21 13748
4302.61 12313
4303.01 10294
4303.40 9704
4303.80 8871
4304.20 6317
4304.60 4527
4304.99 3304
4305.39 3556
4305.79 4478
4306.18 4590
4306.58 4923
4306.98 3705
4307.38 2060
4307.77 2584
4308.17 5892
4308.57 9105
4308.96 11303
4309.36 12127
4309.76 10960
4310.16 9633
4310.55 9221
4310.95 10358
4311.35 11246
4311.75 10802
4312.14 9657
4312.54 9064
4312.94 8399
4313.34 6944
4313.73 7417
4314.13 7467
4314.53 8140
4314.93 11042
4315.32 12017
4315.72 13264
4316.12 15018
4316.52 14539
4316.91 15087
4317.31 17638
4317.71 20970
4318.11 22337
4318.50 20179
4318.90 16114
4319.30 12318
4319.70 8505
4320.09 6470
4320.49 6030
4320.89 6463
4321.29 6069
4321.69 7252
4322.08 6686
4322.48 5211
4322.88 5637
4323.28 8574
4323.68 9512
4324.07 10995
4324.47 12219
4324.87 12594
4325.27 14903
4325.67 16729
4326.06 16675
4326.46 18396
4326.86 19325
4327.26 19222
4327.66 18233
4328.05 14562
4328.45 11088
4328.85 10247
4329.25 10049
4329.65 11071
4330.05 13360
4330.44 15174
4330.84 15795
4331.24 18661
4331.64 19012
4332.04 18791
4332.43 19554
4332.83 20531
4333.23 19232
4333.63 17869
4334.03 16793
4334.43 17715
4334.83 16726
4335.22 14073
4335.62 12473
4336.02 12130
4336.42 10796
4336.82 7530
4337.22 5659
4337.62 4411
4338.01 3029
4338.41 4252
4338.81 4973
4339.21 5517
4339.61 4955
4340.01 5054
4340.41 7428
4340.80 10477
4341.20 11445
4341.60 11508
4342.00 11848
4342.40 10860
4342.80 11556
4343.20 14940
4343.60 19764
4343.99 22094
4344.39 21834
4344.79 23457
4345.19 27233
4345.59 29894
4345.99 30581
4346.39 29684
4346.79 30944
4347.19 30131
4347.59 28271
4347.98 27470
4348.38 26137
4348.78 24646
4349.18 21630
4349.58 19536
4349.98 17352
4350.38 13384
4350.78 5071
4351.18 -3329
4351.58 -9929
4351.98 -14098
4352.38 -13691
4352.77 -12339
4353.17 -12220
4353.57 -13334
4353.97 -11374
4354.37 -7802
4354.77 -3145
4355.17 -412
4355.57 -983
4355.97 -1641
4356.37 -655
4356.77 81
4357.17 -392
4357.57 -1064
4357.97 63
4358.37 2075
4358.77 991
4359.17 36
4359.57 -1660
4359.97 -3214
4360.36 -5347
4360.76 -4721
4361.16 -4004
4361.56 -4421
4361.96 -3143
4362.36 -1182
4362.76 140
4363.16 2303
4363.56 5140
4363.96 7157
4364.36 7902
4364.76 6577
4365.16 4158
4365.56 4398
4365.96 5384
4366.36 4676
4366.76 2486
4367.16 3692
4367.56 8650
4367.96 10930
4368.36 11184
4368.76 10934
4369.16 10129
4369.56 8952
4369.96 8101
4370.36 7120
4370.76 6290
4371.16 4971
4371.56 5474
4371.96 5947
4372.36 6572
4372.76 7603
4373.16 6196
4373.56 4114
4373.96 2364
4374.36 4122
4374.76 6324
4375.16 6645
4375.56 4890
4375.96 3641
4376.37 4644
4376.77 6226
4377.17 7307
4377.57 3689
4377.97 1052
4378.37 -223
4378.77 -478
4379.17 -332
4379.57 2049
4379.97 3171
4380.37 3885
4380.77 3994
4381.17 4973
4381.57 6075
4381.97 7723
4382.37 9633
4382.77 8593
4383.17 8254
4383.58 10329
4383.98 12626
4384.38 11356
4384.78 8620
4385.18 5961
4385.58 6894
4385.98 7769
4386.38 6075
4386.78 2620
4387.18 59
4387.58 437
4387.98 -443
4388.39 -3017
4388.79 -4125
4389.19 -2978
4389.59 -2483
4389.99 -2188
4390.39 -2900
4390.79 -2216
4391.19 -1847
4391.59 -1022
4391.99 -760
4392.40 -1755
4392.80 -1669
4393.20 -2132
4393.60 -2928
4394.00 -4755
4394.40 -4509
4394.80 -3667
4395.20 -1112
4395.60 686
4396.01 826
4396.41 648
4396.81 3761
4397.21 5629
4397.61 4430
4398.01 5949
4398.41 8806
4398.82 10545
4399.22 9570
4399.62 8655
4400.02 7813
4400.42 10249
4400.82 12108
4401.22 13387
4401.63 13804
4402.03 14398
4402.43 14065
4402.83 13407
4403.23 12470
4403.63 10536
4404.04 11322
4404.44 12260
4404.84 13015
4405.24 14722
4405.64 13702
4406.04 12146
4406.45 11650
4406.85 9049
4407.25 4091
4407.65 278
4408.05 -2765
4408.45 -3357
4408.86 -1201
4409.26 1287
4409.66 4385
4410.06 9156
4410.46 12147
4410.87 14037
4411.27 15875
4411.67 18617
4412.07 22662
4412.47 26648
4412.88 29337
4413.28 33449
4413.68 38297
4414.08 42098
4414.48 43890
4414.89 44961
4415.29 40831
4415.69 34978
4416.09 29744
4416.50 24596
4416.90 18164
4417.30 14031
4417.70 14094
4418.10 15378
4418.51 15138
4418.91 14311
4419.31 14290
4419.71 12595
4420.12 9646
4420.52 8323
4420.92 9065
4421.32 11734
4421.73 12069
4422.13 10669
4422.53 10049
4422.93 10464
4423.34 10715
4423.74 10534
4424.14 8727
4424.54 6439
4424.95 1617
4425.35 -4127
4425.75 -8110
4426.15 -10927
4426.56 -13397
4426.96 -13435
4427.36 -11020
4427.77 -8574
4428.17 -7227
4428.57 -4424
4428.97 -4283
4429.38 -5764
4429.78 -4257
4430.18 556
4430.58 5521
4430.99 6730
4431.39 3320
4431.79 1685
4432.20 2205
4432.60 5558
4433.00 8513
4433.41 8190
4433.81 6534
4434.21 6204
4434.61 3821
4435.02 -721
4435.42 -2591
4435.82 -4443
4436.23 -4787
4436.63 -5314
4437.03 -5881
4437.44 -7106
4437.84 -9614
4438.24 -11629
4438.65 -14156
4439.05 -14263
4439.45 -13219
4439.86 -11786
4440.26 -12173
4440.66 -15267
4441.07 -17493
4441.47 -16521
4441.87 -12711
4442.28 -8755
4442.68 -6753
4443.08 -4693
4443.49 -576
4443.89 3880
4444.29 5740
4444.70 6971
4445.10 9770
4445.50 13028
4445.91 16203
4446.31 16987
4446.71 17660
4447.12 19796
4447.52 23289
4447.93 26213
4448.33 28049
4448.73 28234
4449.14 26731
4449.54 24754
4449.94 20160
4450.35 15615
4450.75 12262
4451.15 8368
4451.56 5603
4451.96 4523
4452.37 4551
4452.77 4003
4453.17 2876
4453.58 2073
4453.98 663
4454.39 -522
4454.79 1014
4455.19 3970
4455.60 3887
4456.00 4141
4456.41 5561
4456.81 8926
4457.21 11276
4457.62 11249
4458.02 10373
4458.43 10130
4458.83 9918
4459.23 10042
4459.64 11261
4460.04 10904
4460.45 10525
4460.85 9524
4461.26 10449
4461.66 11376
4462.06 10382
4462.47 8802
4462.87 7439
4463.28 6356
4463.68 4854
4464.09 4548
4464.49 5635
4464.90 5690
4465.30 4382
4465.70 1915
4466.11 239
4466.51 -383
4466.92 -1163
4467.32 -1484
4467.73 1922
4468.13 8192
4468.54 13737
4468.94 19600
4469.34 23416
4469.75 23287
4470.15 24120
4470.56 24334
4470.96 25972
4471.37 25685
4471.77 25770
4472.18 25762
4472.58 24401
4472.99 22877
4473.39 21384
4473.80 20784
4474.20 20251
4474.61 16682
4475.01 12979
4475.42 9155
4475.82 7644
4476.23 5723
4476.63 5626
4477.04 8106
4477.44 12787
4477.85 14531
4478.25 14514
4478.66 14791
4479.06 14911
4479.47 13464
4479.87 13721
4480.28 14687
4480.68 16823
4481.09 16929
4481.49 16620
4481.90 16115
4482.30 13363
4482.71 10256
4483.11 8074
4483.52 5351
4483.92 1412
