m/z	i
3336.63 22771
3336.98 22096
3337.33 20298
3337.67 21687
3338.02 27335
3338.37 30091
3338.72 28647
3339.07 24626
3339.42 21120
3339.77 20426
3340.12 19696
3340.47 19329
3340.82 17833
3341.17 17178
3341.52 17675
3341.87 16946
3342.22 15478
3342.57 15128
3342.92 13577
3343.27 12650
3343.62 10422
3343.96 5001
3344.31 3174
3344.66 5529
3345.01 7023
3345.36 7730
3345.71 8219
3346.06 8492
3346.41 7262
3346.76 2813
3347.11 1266
3347.46 4191
3347.81 7740
3348.16 12020
3348.51 16771
3348.86 24035
3349.21 27827
3349.56 31104
3349.91 33829
3350.26 35526
3350.61 34916
3350.96 33792
3351.31 30599
3351.66 28389
3352.01 27661
3352.36 26048
3352.71 23119
3353.06 18246
3353.41 14448
3353.76 10187
3354.11 6704
3354.46 3039
3354.81 -901
3355.16 -4388
3355.51 -6023
3355.86 -7204
3356.21 -8351
3356.56 -7166
3356.91 -7795
3357.26 -6748
3357.61 -5757
3357.96 -3343
3358.32 -1811
3358.67 -2313
3359.02 -3490
3359.37 -1766
3359.72 -3730
3360.07 -5010
3360.42 -3624
3360.77 -2568
3361.12 -2529
3361.47 -1406
3361.82 2949
3362.17 5825
3362.52 7021
3362.87 7256
3363.22 6086
3363.57 5361
3363.92 4770
3364.27 5615
3364.63 3992
3364.98 4710
3365.33 4562
3365.68 8106
3366.03 14241
3366.38 18031
3366.73 20374
3367.08 19526
3367.43 18212
3367.78 15997
3368.13 12067
3368.48 13805
3368.84 16078
3369.19 14571
3369.54 12726
3369.89 13076
3370.24 16959
3370.59 18891
3370.94 20792
3371.29 23775
3371.64 28331
3371.99 33365
3372.35 35511
3372.70 35595
3373.05 33517
3373.40 33898
3373.75 35631
3374.10 40129
3374.45 45678
3374.80 47681
3375.16 47368
3375.51 42362
3375.86 37773
3376.21 32791
3376.56 27193
3376.91 19081
3377.26 9441
3377.61 929
3377.97 -4016
3378.32 -4708
3378.67 -3718
3379.02 -3482
3379.37 -2231
3379.72 -491
3380.07 3985
3380.43 7373
3380.78 9362
3381.13 13340
3381.48 18115
3381.83 22199
3382.18 29873
3382.54 37696
3382.89 42458
3383.24 41490
3383.59 36032
3383.94 33307
3384.29 30811
3384.65 26442
3385.00 21765
3385.35 15774
3385.70 11505
3386.05 8231
3386.41 7564
3386.76 8059
3387.11 6215
3387.46 4969
3387.81 4133
3388.16 5930
3388.52 9074
3388.87 9506
3389.22 8557
3389.57 6892
3389.92 5318
3390.28 2491
3390.63 2533
3390.98 919
3391.33 -1829
3391.69 -3565
3392.04 -3252
3392.39 972
3392.74 1908
3393.09 4182
3393.45 6622
3393.80 7469
3394.15 7690
3394.50 9677
3394.86 13364
3395.21 12773
3395.56 10721
3395.91 7480
3396.26 6666
3396.62 7592
3396.97 6623
3397.32 5233
3397.67 4115
3398.03 4995
3398.38 8979
3398.73 9381
3399.08 10587
3399.44 13869
3399.79 19381
3400.14 23511
3400.49 24492
3400.85 25981
3401.20 25224
3401.55 24818
3401.91 21453
3402.26 15624
3402.61 10435
3402.96 3551
3403.32 -3704
3403.67 -11491
3404.02 -17812
3404.37 -22945
3404.73 -23930
3405.08 -25023
3405.43 -23793
3405.79 -22172
3406.14 -19666
3406.49 -15407
3406.84 -11634
3407.20 -10152
3407.55 -4336
3407.90 2079
3408.26 6794
3408.61 9776
3408.96 14148
3409.32 17982
3409.67 19915
3410.02 20413
3410.37 17102
3410.73 13489
3411.08 11256
3411.43 9008
3411.79 7101
3412.14 6583
3412.49 5836
3412.85 5930
3413.20 8047
3413.55 11852
3413.91 17810
3414.26 21996
3414.61 28293
3414.97 34470
3415.32 39592
3415.67 43533
3416.03 48199
3416.38 51551
